file_name,height,width,bbox
E300SA22440034_00465_143_1flight_13800_2.jpg,400,640,"[137.0, 0.0, 103.0, 119.0]"
EL300858804493_00184_039_1flight_3900_2.jpg,400,640,"[65.0, 0.0, 147.0, 85.0]"
E300SA23130257_00295_209_1flight_10500_2.jpg,400,640,"[59.0, 0.0, 134.0, 214.0]"
E300SA23130257_00295_209_1flight_2400_2.jpg,400,640,"[59.0, 0.0, 136.0, 219.0]"
E300SA22440035_01510_843_1flight_2700_0.jpg,400,640,"[219.0, 300.0, 88.0, 100.0]"
E300SA22440035_01533_862_1flight_3300_0.jpg,400,640,"[189.0, 248.0, 96.0, 152.0]"
E300SA22440035_01533_862_1flight_8100_0.jpg,400,640,"[199.0, 293.0, 92.0, 107.0]"
E300SA22440035_01502_839_1flight_1500_0.jpg,400,640,"[206.0, 338.0, 78.0, 62.0]"
E300SA22440034_00452_136_1flight_1500_2.jpg,400,640,"[143.0, 0.0, 85.0, 82.0]"
E300SA22440034_00447_133_1flight_9000_2.jpg,400,640,"[83.0, 0.0, 127.0, 209.0]"
E300SA22440034_00447_133_1flight_2400_2.jpg,400,640,"[83.0, 0.0, 123.0, 210.0]"
EL300858804493_00188_043_1flight_1800_0.jpg,400,640,"[65.0, 0.0, 215.0, 400.0]"
E300SA23130257_00053_033_1flight_4500_0.jpg,400,640,"[40.0, 184.0, 120.0, 216.0]"
E300SA23130257_00053_034_1flight_3000_0.jpg,400,640,"[29.0, 191.0, 113.0, 209.0]"
E300SA23130257_00295_209_1flight_0_2.jpg,400,640,"[59.0, 0.0, 134.0, 214.0]"
E300PREMP00002_00725_216_1flight_7500_2.jpg,400,640,"[90.0, 0.0, 133.0, 208.0]"
E300SA22440035_01502_839_1flight_4500_0.jpg,400,640,"[219.0, 336.0, 79.0, 64.0]"
E300SA22440034_00447_133_1flight_10500_2.jpg,400,640,"[83.0, 0.0, 123.0, 210.0]"
E300SA22440035_01510_843_1flight_5100_0.jpg,400,640,"[261.0, 324.0, 89.0, 76.0]"
E300SA22440034_00465_143_1flight_7800_2.jpg,400,640,"[137.0, 0.0, 103.0, 119.0]"
E300SA22440034_00451_135_1flight_7200_2.jpg,400,640,"[83.0, 0.0, 123.0, 210.0]"
